company,title,role_category,location_type,first_seen_utc,priority_score,source_domain,url,search_query,snippet
Wiza,Aaron Zubler - Vice President of Sourcing - Global ... - Wiza,VP - Sourcing,NYC,2026-08-07T16:34:18+00:00,35,wiza.co,https://wiza.co/d/jpmorganchase/e802/aaron-zubler,"""Vice President of Sourcing"" (""New York"" OR remote)","Aaron works at Jpmorgan Chase & Co. as Vice President of Sourcing - Global Sourcing Lead - Professional Services. Aaron is based out of Brooklyn, New York, United States and works in the Financial Services industry."
Careerjet,Vice President Strategic Sourcing jobs in the USA | Careerjet,VP - Sourcing,NYC,2026-08-07T16:34:16+00:00,35,careerjet.com,https://www.careerjet.com/vice-president-strategic-sourcing-jobs,"""Vice President Sourcing"" (""New York"" OR remote)","Vice President, De Novo Sourcing, West, USPI - Los Angeles, San Diego, San Francisco or Phoenix. Save. United Surgical Partners International.Vice President Sourcing Procurement jobs in New York City, NY."
Co,267 senior vice president sourcing manager jobs in... | Glassdoor,VP - Sourcing,Remote,2026-08-07T16:34:16+00:00,35,glassdoor.co.in,"https://www.glassdoor.co.in/Job/united-states-senior-vice-president-sourcing-manager-jobs-SRCH_IL.0,13_IN1_KO14,52.htm","""Vice President Sourcing"" (""New York"" OR remote)","267 open jobs for Senior vice president sourcing manager in United States.4.0. Vice President, Human Resources. Remote. Easy Apply."
Careergroupcompanies,"VP of Sourcing/Production | Hiring | New York, NY",VP - Sourcing,NYC,2026-08-07T16:34:15+00:00,35,careergroupcompanies.com,https://www.careergroupcompanies.com/job-posting/168819,"""VP of Sourcing"" (""New York"" OR remote)",A minimum of 10 years of experience in sourcing and production. Experience working with duty-free regions and emerging markets in the context of children's goods. Willingness to travel internationally as necessary to oversee production and ensure compliance.
Careerjet,vp sourcing jobs in the USA | Careerjet,VP - Sourcing,NYC,2026-08-07T16:34:13+00:00,35,careerjet.com,https://www.careerjet.com/vp-sourcing-jobs,"""VP Sourcing"" (""New York"" OR remote)","VP Strategic Sourcing jobs in New York City, NY.We are looking for an VP, Strategic Sourcing to join our team in a role based in Miami, FL at our HQ. The selected candidate will be responsible for running the company's Strategic…"
Sarepta Therapeutics in Bedford,"Senior Director, Product Development, RNA Therapies - Remote.co",Senior Director - Product Development,Remote,2026-08-07T16:34:26+00:00,34,remote.co,https://remote.co/job-details/senior-director-product-development-rna-therapies-883dcaf4-d45b-4e78-8345-f070cf215ae8,"""Senior Director Product Development"" (""New York"" OR remote)","Check out this Senior Director, Product Development, RNA Therapies job at Sarepta Therapeutics in Bedford, MA, Andover, MA. Remote.co features Hybrid Remote Work."
Hair Care...,Senior Director - Product Development & Research - Hair Care...,Senior Director - Product Development,NYC,2026-08-07T16:34:22+00:00,34,momentumsc.com,https://momentumsc.com/senior-director-product-development-research-hair-care-nyc-metro-2,"""Director Product Development"" (""New York"" OR remote)",Our New York City Metro-area client is experiencing strong year-over-year growth and is seeking a hands-on Senior Director of Product Development & Research in Hair Care to carry out all research and product development.
Theladders,"Director of Product Development, Building Operations",Director - Product Development,NYC / Remote,2026-08-07T16:34:24+00:00,32,theladders.com,https://www.theladders.com/job/director-of-product-development-building-operations-cbregroup-virtual-travel_87407777,"""Director of Product Development"" (""New York"" OR remote)","Director of Product Development, Building Operations CBRE Group, Inc • $225K — $250K * US-Anywhere Remote in New York City, NY Real Estate & Construction 8 - 10 years of experience 1 month ago"
Remotefront,"Remote Director, Product Development New York City, New York",Director - Product Development,NYC / Remote,2026-08-07T16:34:22+00:00,32,remotefront.com,https://www.remotefront.com/remote-jobs/mastercard-director-product-development-new-york-city-new-york-bhnzl,"""Director Product Development"" (""New York"" OR remote)","Director, Product Development New York City, New York. $178k - $284k."
Trafilea,Remote Director of Product Development at Trafilea,Director - Product Development,Remote,2026-08-07T16:34:24+00:00,31,weworkremotely.com,https://weworkremotely.com/remote-jobs/trafilea-director-of-product-development,"""Director of Product Development"" (""New York"" OR remote)",Director of Product Development. Posted 8 days ago. Apply now.and standards.Implement continuous improvement initiatives to optimize product development processes.We've been recognized by Forbes and FlexJobs as one of the Top 25 Companies for Remote Workers.
DIRECTV,"DOOH Sr. Director Product Development, Ad Sales at DIRECTV",Director - Product Development,Remote,2026-08-07T16:34:22+00:00,31,jobs.directv.com,https://jobs.directv.com/job/new-york/dooh-sr-director-product-development-ad-sales/390/97806433456,"""Director Product Development"" (""New York"" OR remote)","Define and execute a multi-year product development strategy for Ad Sales platforms, focused on REMOTE DOOH capabilities, aligning technology investments with revenue growth objectives and competitive positioning."
Built In,"Director, Product Development - Scentbird | Built In",Director - Product Development,Remote,2026-08-07T16:34:22+00:00,31,builtin.com,https://builtin.com/job/director-product-development/8868536,"""Director Product Development"" (""New York"" OR remote)","Jul 20, 2026 · Scentbird is hiring for a Remote Director, Product Development in New Jersey, USA. Find more details about the job and how to apply at Built In."
Mta,"Director, Product Development in New York, New York, United States",Director - Product Development,NYC,2026-08-07T16:34:22+00:00,31,careers.mta.org,https://careers.mta.org/jobs/17186353-director-product-development,"""Director Product Development"" (""New York"" OR remote)","JOB TITLE: Director, Product Development. Salary range: $172,123 - $203,162. DEPT/DIV: IT/Product Management & Engineering. SUPERVISOR: Senior Director, Product Development. LOCATION: 2 Broadway, New York, NY 10004."
Dice,"Director, Product Development Bridges and Tunnels Applications...",Director - Product Development,NYC,2026-08-07T16:34:22+00:00,31,dice.com,https://www.dice.com/job-detail/1dfcc2d6-31d0-4337-99aa-4fb0a434dc34,"""Director Product Development"" (""New York"" OR remote)","6-6-2025 - Description JOB TITLE: Director, Product Development Bridges and Tunnels ApplicationsSALARY RANGE: $172,123 - $203,162HAY POINTS: 994DE...SUPERVISOR: Senior Director, Product Development. LOCATION: 2 Broadway, New York, NY 10004."
Interior Design Careers,"Director, Product Development & Marketing... - Interior Design Careers",Director - Product Development,NYC,2026-08-07T16:34:22+00:00,31,interiordesigncareers.co,https://www.interiordesigncareers.co/jobs/466172910-director-product-development-marketing,"""Director Product Development"" (""New York"" OR remote)","Director,Product Development & Marketing. AKDO • Full-time • New York, NY, US • from $150 / year • 2m ago."
Simplify Jobs,Director – Product Development and Merchandising... | Simplify Jobs,Director - Product Development,NYC,2026-08-07T16:34:22+00:00,31,simplify.jobs,https://simplify.jobs/p/b89c8886-ccca-4417-90b1-f915f2bcb647/Director--Product-Development-and-Merchandising,"""Director Product Development"" (""New York"" OR remote)","Hybrid position based in New York, NY.The Director of Product Development and Merchandising will lead the product strategy and lifecycle from initial concept to market launch, ensuring alignment with brand standards and business objectives."
Daybook,Senior Category Manager & Head of Sourcing Operations,Head - Sourcing,NYC,2026-08-07T16:34:39+00:00,29,daybook.com,https://www.daybook.com/job/senior-category-manager-head-of-sourcing-operations-Hqs83PgzZisMQ2h7f,"""Head of Sourcing"" (""New York"" OR remote)","Oct 20, 2025 · Explore the opportunity of Senior Category Manager & Head of Sourcing Operations in 1000 5th Ave, New York, NY 10028! Get insights into job responsibilities. Check your eligibility and apply for the position today on Daybook."
Bmc,"Director Strategic Sourcing - Remote, United States",Director - Sourcing,Remote,2026-08-07T16:34:33+00:00,28,careers.bmc.org,https://careers.bmc.org/jobs/director-strategic-sourcing-remote-united-states,"""Director Strategic Sourcing"" (""New York"" OR remote)","Reporting to the Vice President, Supply Chain, the Director of Strategic Sourcing provides strategic leadership and operational oversight for the health system’s sourcing and contracting lifecycle."
Zippia,Director Of Strategic Sourcing remote jobs - Zippia,Director - Sourcing,Remote,2026-08-07T16:34:33+00:00,28,zippia.com,https://www.zippia.com/director-of-strategic-sourcing-jobs/remote-jobs,"""Director Strategic Sourcing"" (""New York"" OR remote)","Find Director Of Strategic Sourcing work from home jobs hiring now. Find the right Director Of Strategic Sourcing remote job with estimated salaries, company ratings, and highlights. Apply to Director Of Strategic Sourcing, Supply Manager, and Supply Chain Consultant jobs now!"
Real Ventures Job Board,"Director, Strategic Sourcing @ Mejuri | Real Ventures Job Board",Director - Sourcing,NYC,2026-08-07T16:34:33+00:00,28,jobs.realventures.com,https://jobs.realventures.com/companies/mejuri/jobs/30903192-director-strategic-sourcing,"""Director Strategic Sourcing"" (""New York"" OR remote)","New York, NY, USA.You will establish a strategic, disciplined and integrated procurement function that optimizes new and existing vendor/supplier partnerships to maximize value to the organization while reducing cost."
Careerjet,global director sourcing jobs in New York | Careerjet,Director - Sourcing,NYC,2026-08-07T16:34:28+00:00,28,careerjet.com,https://www.careerjet.com/global-director-sourcing-jobs/new-york-404.html,"""Director Sourcing"" (""New York"" OR remote)","Director Sourcing Materials jobs in New York City, NY.Wego Chemical Group is a global distributor and sourcing partner of chemicals and ingredients. We are an established player in the global specialty chemical markets, providing end"
Velvet Jobs,"Director, Sourcing Resume Samples | Velvet Jobs",Director - Sourcing,NYC,2026-08-07T16:34:28+00:00,28,velvetjobs.com,https://www.velvetjobs.com/resume/director-sourcing-resume-sample,"""Director Sourcing"" (""New York"" OR remote)","New York, NY. Director Sourcing.Director, Sourcing Resume Examples & Samples. Leads UPR sourcing in the areas of construction and technology and will oversee a spend profile of $80-$120 million."
Goodfoodjobs,"Jobs :: Director of Sourcing - Bright & Eats :: New York, NY",Director - Sourcing,NYC,2026-08-07T16:34:15+00:00,28,goodfoodjobs.com,https://www.goodfoodjobs.com/jobs/133427/director-of-sourcing-bright-eats.html,"""VP of Sourcing"" (""New York"" OR remote)","Date Posted July 27, 2020. Location New York, NY.All of them. If you want to solve big problems in new ways with the smartest, kindest, weirdest people you've ever met, we want to meet you. But what kind of company is BARK? It's a company that has gone to the dogs."
